Ctrl_1	Ctrl_2	Ctrl_3	Ctrl_4	Ctrl_5	Ctrl_6	UPF3B.KO_1	UPF3B.KO_2	UPF3B.KO_3	UPF3B.KO_4	UPF3B.KO_5	UPF3B.KO_6
CTAGE8	0.365033200087077	0.441666682707631	0.552024791216341	0.519001122326525	0.295907938645125	0.478498707330727	0.539664310476508	0.80151367589728	0.579737518955172	0.534014938678324	0.373326060117595	0.644692697193746
ZNF496-DT	4.47621631698216	4.52834926695624	4.46000587849566	4.53857625544161	4.51988515312624	4.49470096774001	4.4922842437259	4.39102860840494	4.49348889167478	4.54489623115988	4.56535472224519	4.50149626420034
LINC01530	0.194031100749473	0.134462001374613	0.133712004533795	0.464450695568378	0	0.128720693907665	0.408398384687837	0.15472344803473	0.146035189157269	0.286936925771908	0.397195809812387	0.353938223427379
LINC03112	0.993996276027962	0.672869438563123	0.808184420144761	0.876206266031118	0.744265976125508	1.01903393032145	0.942714725349665	1.3300763211712	1.09337313914341	1.35834374400981	0.96941043456201	1.09364767872833
RPSA2	6.68033419706405	6.70392227742244	6.73133217533725	6.60661915959051	6.62389243877735	6.64005036359623	6.69523458036982	6.67076475217354	6.64274589130247	6.63836967290663	6.64212160852987	6.69496078631502
LSP1P5	4.1239090672735	4.10767656362424	4.15069676332001	4.08525869614085	4.02750739863658	4.09127858431871	4.70384449570469	4.68650859148667	4.59417986790345	4.67441880632467	4.8013011577314	4.60662381943157
SMANTIS	0.0894714141158054	0.227674479088438	0.287026105364201	0.0642965899116333	0.541331142229824	0.119897673073646	0.0422892334943493	0.0599824465088079	0.146035189157269	0.0664722019755409	0.282261046190091	0.140696864644042
PPIAL4C	0.163451107149733	0.102003040648232	0.256075657735706	0.222938607597401	0.200573166156504	0.0657954669598873	0.39213970621398	0.343543685832362	0.213859267119971	0.249277680321945	0.2736901342723	0.277618177572388
H2AC19	3.46843953815878	3.38330175785633	3.45211590052346	3.36738409559065	3.2962642374935	3.36723754852671	3.14132349519803	3.03488417435366	3.07619603544235	3.32282463492751	3.11868067009496	3.21228441874542
H2AC18	3.46426397858474	3.3456743889391	3.40704045717348	3.33950819251891	3.28585083312084	3.36257018537732	3.10562266100699	3.00975675704667	3.0644340742069	3.25437415328814	3.04881917768041	3.19163593321846
CTAGE4	0.253312637689613	0.388829593471372	0.473476914091591	0.30506112068581	0.160602447508837	0.429354734922681	0.502280805120404	0.692042920114823	0.512072487545252	0.518268742527307	0.324368062847068	0.582607600820052
F8A1	4.06239453525228	3.98991809712962	4.03466988321534	3.96269752020163	3.92982500654117	4.05586645482992	3.9306027310556	3.84809922716815	3.75990636692463	3.72812862487947	3.85931463154063	3.7553887941545
F8A2	3.68575430574085	3.57681237467049	3.73626552923635	3.65173612715433	3.57812392479048	3.71282598289456	3.53107077178983	3.43667987741673	3.47407303759627	3.48451187106093	3.5084248640241	3.46929465832157
PRRC2B	7.22783838669812	7.25964512518545	7.2506675481149	7.25989546343796	7.1462971550289	7.2876578115377	7.03464739455446	7.0680514097534	7.0625973964167	7.0899504368857	7.10392094778953	7.06585775465772
PANO1	0.788915941710472	0.846190603625145	0.691577407336475	0.783753844948821	0.710058551392899	0.641492958723434	0.783542826066952	0.853283873354039	0.594352737400438	0.646932728496731	0.663087833539865	0.704215887071037
ACTL10	0.0894714141158054	0.155702563464018	0.167370365360863	0.365851346304224	0.0224750657902783	0.0565778423493065	0.383941135560694	0.199858592898433	0.278637452847295	0.210608991782236	0.129141917655516	0.15972143477696
C8orf44	1.4559979475162	1.37600998579439	1.60684263524821	1.54683126266149	1.51627238906016	1.73397391470892	1.50050136316587	1.58610184496249	1.6036822497865	1.52519680161377	1.52610086297535	1.57317105487784
ZCCHC14-DT	0.272543917258263	0.217610002883264	0.376082425980985	0.0954012992653559	0.249027886644516	0.263009766264678	0.246001428181238	0.359544237455956	0.232666007726737	0.420002184807344	0.129141917655516	0.370363580850805
DUS4L-BCAP29	2.43686526999099	2.64396759305414	2.2474895328629	2.56054756771992	2.70111151918778	2.47323277478076	2.51658457234075	2.63403035770633	2.68030518352508	2.68315541518317	2.52821907991623	2.6446823806778
LARRPM	0.434979420754291	0.379832168710684	0.459959536235698	0.407756304844401	0.904101077181688	0.622878511338035	0.590425375551646	0.653625553302159	0.146035189157269	0.453506928692093	0.405065430030077	0.487931875275717
DHX9-AS1	0.58096279538686	0.779339506962346	0.714527045141788	0.480248135595387	0.549092408442516	0.591310556250446	0.487051885098808	0.607472783432691	0.658348604610058	0.565000942071938	0.864871439306486	0.72990229780527
LINC03026	0.0676183582322059	0.237669229998252	0.175663674730283	0.021752145009849	0.0664013218539272	0.128720693907665	0.19067289776994	0.172947301259281	0.223293282412239	0.314549959386604	0.129141917655516	0.386604035633
